1	78	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
2	80	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
3	79	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
4	81	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
5	120	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
6	116	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
7	117	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
8	66	2	4	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40
9	68	2	4	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40
10	64	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
11	27	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
12	39	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
