NPC_SEARCH	Npc vyhledávání
GUILD_DO_YOU_JOIN	tì pozval. Pøeješ si vstoupit do cechu?
GUILD_DRAGONLAIR_MIN	min.
GUILD_DRAGONLAIR_PARTY_ALL	Celkové hodnocení
GUILD_DRAGONLAIR_PARTY_LINE_FOUR	11. místo a níe: 100 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_HELP	Nápovìda
GUILD_DRAGONLAIR_PARTY_LINE_ONE	1. místo: 400 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_THREE	4. - 10. místo: 200 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_TWO	2. - 3. místo: 300 Gaya
GUILD_DRAGONLAIR_PARTY_MEMBER	Èlenové
GUILD_DRAGONLAIR_PARTY_NOW	Tıdenní hodnocení
GUILD_DRAGONLAIR_PARTY_PAST	Pøedchozí hodnocení
GUILD_DRAGONLAIR_PARTY_TIME	Èas
GUILD_DRAGONLAIR_PARTY_TOOLTIP_TITLE	Odmìna
GUILD_DRAGONLAIR_RANKING_FAIL	SELHALO
GUILD_DRAGONLAIR_RANKING_NONE	NOVÉ
GUILD_DRAGONLAIR_RANKING_SUCCESS	ÚSPÌŠNÌ
GUILD_DRAGONLAIR_SECOND	sek.
GUILD_EMPTY_AREA	Planá zemì
GUILD_ENEMY_GUILD_NAME	Název nepøátelského cechu
GUILD_FACILITY	Vedlejší budova
GUILD_GEM	Drahokam
GUILD_HEADQUARTER	Hlavní budova
GUILD_HEAL_GSP	Obnovit draèího ducha
GUILD_INFO_ENEMY_GUILD_EMPTY	ádná
GUILD_MARK_NOT_ENOUGH_LEVEL	Je zapotøebí minimálnì úrovnì 3.
GUILD_MARK_UPLOAD_NOTICE	Poèkej chvilku abys mohl pøidat cechovní loga.
GUILD_MEMBER_JOB	Typ
GUILD_MEMBER_KNIGHT	Bojovník
GUILD_MEMBER_LEVEL	Úroveò
GUILD_MEMBER_NAME	Èlen
GUILD_MEMBER_RANK	Hodnost
GUILD_MEMBER_SPECIFIC_GRAVITY	Darované BZK
GUILD_NAME	Název cechu
GUILD_NOT_ENOUGH_MATERIAL	Nemáš dostatek stavebního materiálu pro tuto budovu.
GUILD_NOT_ENOUGH_MONEY	Nemáš dostatek Yangù pro tuto budovu.
GUILD_NO_NOTICE_PERMISSION	Nejsi oprávnìn, zveøejòovat oznámení.
GUILD_OBJECT	Objekty
GUILD_OFFER_EXP	Zkušenost k investování
GUILD_SHORT_EXP	Nedostatek zkušeností.
GUILD_TILE_BASEINFO	Informace o území
GUILD_TILE_BOARD	Zprávy cechu
GUILD_TILE_GRADE	Administrace práv
GUILD_TILE_INFO	Informace o cechu
GUILD_TILE_MEMBER	Èlen
GUILD_TILE_SKILL	Schopnosti  cechu
GUILD_USE_MASTER_ONLY	Toto smí pouívat pouze vùdce cechu.
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Oblast cechovních válek
GUILD_WAR2	Oblast cechovních válek
GUILD_WAR3	Oblast cechovních válek
GUILD_WAR4	Oblast cechovních válek
GUILD_WAR_GAINSCORE_FIFTY	50 bodù
GUILD_WAR_GAINSCORE_HUNDRED	100 bodù
GUILD_WAR_GAINSCORE_THIRTY	30 bodù
GUILD_WAR_GAMETIME_SIXTY	60 minut
GUILD_WAR_GAMETIME_TEN	10 minut
GUILD_WAR_GAMETIME_THIRTY	30 minut
GUILD_WAR_LIMIT_30MIN	Èas: 30 minut
GUILD_WAR_REWARD_POTION	Odmìna: Vítìz obdrí elixíry
GUILD_WAR_SELECT_WAR	Zvol typ
GUILD_WAR_TYPE_DEFENSE	Štítová bitva
GUILD_WAR_TYPE_DIE	Bitva v arénì
GUILD_WAR_TYPE_FLAG	Zajmout vlajku
GUILD_WAR_TYPE_NORMAL	Polní bitva
GUILD_WAR_TYPE_TIGER	Rozdrcení
GUILD_WAR_TYPE_TIME	Èasovı útok
GUILD_WAR_USE_BATTLE_MAP	Lokalita: dìjištì cechovní války
GUILD_WAR_USE_NORMAL_MAP	Lokalita: normální mapa
GUILD_WAR_WIN_CHECK_SCORE	Nejvyšší vısledek vyhraje válku.
GUILD_WAR_WIN_FIVE	5 kol
GUILD_WAR_WIN_ONE	1 kolo
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Zmocni se praporu protivníka
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	a doprav jej na vlastní základnu.
GUILD_WAR_WIN_THREE	3 kola
GUILD_WAR_WIN_WIPE_OUT_GUILD	Pøemo všechny soupeøi, abys vyhrál.
GUILD_WITHDRAW	Ústup
GUILD_YOU_DO_NOT_JOIN	Nepatøíš k ádnému cechu.
HORSE_HEALTH0	Mrtvı
HORSE_HEALTH1	Hladovìjící
HORSE_HEALTH2	Hladovı
HORSE_HEALTH3	Plnı
HORSE_LEVEL1	Normální kùò
HORSE_LEVEL2	Opancéøovanı kùò
HORSE_LEVEL3	Vojenskı kùò
HOUR	h
HOW_MANY_ITEM_DO_YOU_DROP1	Chceš nechat padnout %s?
HOW_MANY_ITEM_DO_YOU_DROP2	Chceš nechat padnout %s %d?
INPUT_MATRIX_CARD_NUMBER	Zadat èíslo Matrix-karty
INPUT_MATRIX_CARD_TITLE	Matrix-karta
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Zadat vymazávající kód ze správy kont.
INPUT_PRIVATE_CODE_DIALOG_TITLE	Smazat postavu
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Pergamen se nedá dát dohromady.
INVENTORY_REALLY_USE_ITEM	Pouit pøedmìt na tento pøedmìt?
INVENTORY_REALLY_USE_ITEM2	Opravdu chceš pouít tento pøedmìt?
INVENTORY_REALLY_USE_PET_BAG_ITEM	Opravdu si pøeješ umístit svého mazlíka do pøepravní bedny?
INVENTORY_REALLY_USE_PET_BAG_TAKE_OUT	Pøeješ si otevøít pøepravní bednu?
INVENTORY_REALLY_USE_PET_FEEDSTUFF_ITEM	Chceš nakrmit %s na %s?
IS_NOT_PET_CHANGE_ITEM	Toto není pøedmìt pro zaèarování mazlíka.
IS_NOT_PET_ITEM	Toto není mazlík.
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	ádná
JOB_ASSASSIN1	Dıkovı ninja
JOB_ASSASSIN2	Ninja na dálku
JOB_SHAMAN	Šaman
JOB_SHAMAN0	ádná
JOB_SHAMAN1	Draèí šaman
JOB_SHAMAN2	Šaman léèitel
JOB_SURA	Sura
JOB_SURA0	ádná
JOB_SURA1	Zbraòovı Sura
JOB_SURA2	Magickı Sura
JOB_WARRIOR	Váleèník
JOB_WARRIOR0	ádná
JOB_WARRIOR1	Váleèník na tìlo
JOB_WARRIOR2	Mentální váleèník
JOB_WOLFMAN	Lycan
JOB_WOLFMAN0	Lycan amatér
JOB_WOLFMAN1	Instinkt
JOB_WOLFMAN2	N.A.
KEYCHANGE_DONT_SAVE_EXIT	Ukonèit bez uloení?
KEYCHANGE_IMPOSSIBLE_CHANGE	[CTRL], [ALT], [SHIFT] zde nejsou povoleny!
KEYCHANGE_SAVE_EXIT	Uloit a ukonèit?
KEY_0	é
KEY_0_LALT	ALT + é
KEY_0_LCONTROL	CTRL + é
KEY_0_LSHIFT	SHIFT + é
KEY_1	+
KEY_1_LALT	ALT + +
KEY_1_LCONTROL	CTRL + +
KEY_1_LSHIFT	SHIFT + +
KEY_2	ì
KEY_2_LALT	ALT + ì
KEY_2_LCONTROL	CTRL + ì
KEY_2_LSHIFT	SHIFT + ì
KEY_3	š
KEY_3_LALT	ALT + š
KEY_3_LCONTROL	CTRL + š
KEY_3_LSHIFT	SHIFT + š
KEY_4	è
KEY_4_LALT	ALT + è
KEY_4_LCONTROL	CTRL + è
KEY_4_LSHIFT	SHIFT + è
KEY_5	ø
KEY_5_LALT	ALT + ø
KEY_5_LCONTROL	CTRL + ø
KEY_5_LSHIFT	SHIFT + ø
KEY_6	
KEY_6_LALT	ALT + 
KEY_6_LCONTROL	CTRL + 
KEY_6_LSHIFT	SHIFT + 
KEY_7	ı
KEY_7_LALT	ALT + ı
KEY_7_LCONTROL	CTRL + ı
KEY_7_LSHIFT	SHIFT + ı
KEY_8	á
KEY_8_LALT	ALT + á
KEY_8_LCONTROL	CTRL + á
KEY_8_LSHIFT	SHIFT + á
KEY_9	í
KEY_9_LALT	ALT + í
KEY_9_LCONTROL	CTRL + í
KEY_9_LSHIFT	SHIFT + í
KEY_A	A
KEY_ADD	+
KEY_A_LALT	ALT + A
KEY_A_LCONTROL	CTRL + A
KEY_A_LSHIFT	SHIFT + A
KEY_B	B
KEY_B_LALT	ALT + B
KEY_B_LCONTROL	CTRL + B
KEY_B_LSHIFT	SHIFT + B
KEY_C	C
KEY_COMMA	,
KEY_COMMA_LALT	ALT + ,
KEY_COMMA_LCONTROL	CTRL + ,
KEY_COMMA_LSHIFT	SHIFT + ,
KEY_C_LALT	ALT + C
KEY_C_LCONTROL	CTRL + C
KEY_C_LSHIFT	SHIFT + C
KEY_D	D
KEY_DOWN	Šipka dolù
KEY_D_LALT	ALT + D
KEY_D_LCONTROL	CTRL + D
KEY_D_LSHIFT	SHIFT + D
KEY_E	E
KEY_E_LALT	ALT + E
KEY_E_LCONTROL	CTRL + E
KEY_E_LSHIFT	SHIFT + E
KEY_F	F
KEY_F1	F1
KEY_F10	F10
KEY_F10_LALT	ALT + F10
KEY_F10_LCONTROL	CTRL + F10
KEY_F10_LSHIFT	SHIFT + F10
KEY_F1_LALT	ALT + F1
KEY_F1_LCONTROL	CTRL + F1
KEY_F1_LSHIFT	SHIFT + F1
KEY_F2	F2
KEY_F2_LALT	ALT + F2
KEY_F2_LCONTROL	CTRL + F2
KEY_F2_LSHIFT	SHIFT + F2
KEY_F3	F3
KEY_F3_LALT	ALT + F3
KEY_F3_LCONTROL	CTRL + F3
KEY_F3_LSHIFT	SHIFT + F3
KEY_F4	F4
KEY_F4_LALT	ALT + F4
KEY_F4_LCONTROL	CTRL + F4
KEY_F4_LSHIFT	SHIFT + F4
KEY_F5	F5
KEY_F5_LALT	ALT + F5
KEY_F5_LCONTROL	CTRL + F5
KEY_F5_LSHIFT	SHIFT + F5
KEY_F6	F6
KEY_F6_LALT	ALT + F6
KEY_F6_LCONTROL	CTRL + F6
KEY_F6_LSHIFT	SHIFT + F6
KEY_F7	F7
KEY_F7_LALT	ALT + F7
KEY_F7_LCONTROL	CTRL + F7
KEY_F7_LSHIFT	SHIFT + F7
KEY_F8	F8
KEY_F8_LALT	ALT + F8
KEY_F8_LCONTROL	CTRL + F8
KEY_F8_LSHIFT	SHIFT + F8
KEY_F9	F9
KEY_F9_LALT	ALT + F9
KEY_F9_LCONTROL	CTRL + F9
KEY_F9_LSHIFT	SHIFT + F9
KEY_F_LALT	ALT + F
KEY_F_LCONTROL	CTRL + F
KEY_F_LSHIFT	SHIFT + F
KEY_G	G
KEY_GRAVE	;
KEY_GRAVE_LALT	ALT + ;
KEY_GRAVE_LCONTROL	CTRL + ;
KEY_GRAVE_LSHIFT	SHIFT + ;
KEY_G_LALT	ALT + G
KEY_G_LCONTROL	CTRL + G
KEY_G_LSHIFT	SHIFT + G
KEY_H	H
KEY_H_LALT	ALT + H
KEY_H_LCONTROL	CTRL + H
KEY_H_LSHIFT	SHIFT + H
KEY_I	I
KEY_I_LALT	ALT + I
KEY_I_LCONTROL	CTRL + I
KEY_I_LSHIFT	SHIFT + I
KEY_J	J
KEY_J_LALT	ALT + J
KEY_J_LCONTROL	CTRL + J
KEY_J_LSHIFT	SHIFT + J
KEY_K	K
KEY_K_LALT	ALT + K
KEY_K_LCONTROL	CTRL + K
KEY_K_LSHIFT	SHIFT + K
KEY_L	L
KEY_LALT	ALT
KEY_LCONTROL	CTRL
KEY_LEFT	Šipka doleva
KEY_LSHIFT	SHIFT
KEY_L_LALT	ALT + L
KEY_L_LCONTROL	CTRL + L
KEY_L_LSHIFT	SHIFT + L
KEY_M	M
KEY_M_LALT	ALT + M
KEY_M_LCONTROL	CTRL + M
KEY_M_LSHIFT	SHIFT + M
KEY_N	N
KEY_NUMLOCK	NUMLOCK
KEY_NUMPAD0	NUMPAD 0
KEY_NUMPAD1	NUMPAD 1
KEY_NUMPAD2	NUMPAD 2
KEY_NUMPAD3	NUMPAD 3
KEY_NUMPAD4	NUMPAD 4
KEY_NUMPAD5	NUMPAD 5
KEY_NUMPAD6	NUMPAD 6
KEY_NUMPAD7	NUMPAD 7
KEY_NUMPAD8	NUMPAD 8
KEY_NUMPAD9	NUMPAD 9
KEY_N_LALT	ALT + N
KEY_N_LCONTROL	CTRL + N
KEY_N_LSHIFT	SHIFT + N
KEY_O	O
KEY_O_LALT	ALT + O
KEY_O_LCONTROL	CTRL + O
KEY_O_LSHIFT	SHIFT + O
KEY_P	P
KEY_PERIOD	.
KEY_PERIOD_LALT	ALT + .
KEY_PERIOD_LCONTROL	CTRL + .
KEY_PERIOD_LSHIFT	SHIFT + .
KEY_PGDN	PAGE DOWN
KEY_PGUP	PAGE UP
KEY_P_LALT	ALT + P
KEY_P_LCONTROL	CTRL + P
KEY_P_LSHIFT	SHIFT + P
KEY_Q	Q
KEY_Q_LALT	ALT + Q
KEY_Q_LCONTROL	CTRL + Q
KEY_Q_LSHIFT	SHIFT + Q
KEY_R	R
KEY_RIGHT	Šipka doprava
KEY_R_LALT	ALT + R
KEY_R_LCONTROL	CTRL + R
KEY_R_LSHIFT	SHIFT + R
KEY_S	S
KEY_SPACE	MEZERNÍK
KEY_SUBTRACT	-
KEY_SYSRQ	PRTSCR
KEY_S_LALT	ALT + S
KEY_S_LCONTROL	CTRL + S
KEY_S_LSHIFT	SHIFT + S
KEY_T	T
KEY_TAB	TAB
KEY_T_LALT	ALT + T
KEY_T_LCONTROL	CTRL + T
KEY_T_LSHIFT	SHIFT + T
KEY_U	U
KEY_UP	Šipka nahoru
KEY_U_LALT	ALT + U
KEY_U_LCONTROL	CTRL + U
KEY_U_LSHIFT	SHIFT + U
KEY_V	V
KEY_V_LALT	ALT + V
KEY_V_LCONTROL	CTRL + V
KEY_V_LSHIFT	SHIFT + V
KEY_W	W
KEY_W_LALT	ALT + W
KEY_W_LCONTROL	CTRL + W
KEY_W_LSHIFT	SHIFT + W
KEY_X	X
KEY_X_LALT	ALT + X
KEY_X_LCONTROL	CTRL + X
KEY_X_LSHIFT	SHIFT + X
KEY_Y	Z
KEY_Y_LALT	ALT + Z
KEY_Y_LCONTROL	CTRL + Z
KEY_Y_LSHIFT	SHIFT + Z
KEY_Z	Y
KEY_Z_LALT	ALT + Y
KEY_Z_LCONTROL	CTRL + Y
KEY_Z_LSHIFT	SHIFT + Y
LEADER_NAME	Jméno velitele
LEFT_TIME	Zbıvající èas
LIMIT_LEVEL_GUILD	Cechovní úroveò: %d
LOGIN_CONNECT_FAILURE	Chyba pøi spojení se serverem.
LOGIN_CONNECT_SUCCESS	Byl jsi pøipojen na server.
LOGIN_CONNETING	Prosíme poèkej, ne se pøipojíš na server.
LOGIN_FAILURE_ALREAY	Tvùj úèet je u pøipojen.
LOGIN_FAILURE_BACKEND_ERR	Objevila se chyba. Prosíme, kontaktuj Podporu.
LOGIN_FAILURE_BE_SAME_KEY	Problém s pøihlášením
LOGIN_FAILURE_BLOCK_ID	Tento úèet byl zablokován.
LOGIN_FAILURE_BLOCK_LOGIN	Uzavøenı server: Prosím, zvolte si nìkterı z jinıch serverù!
LOGIN_FAILURE_COUNTRY_ERR	Chybnı kód zemì.\nProsíme, kontaktuj Podporu.
LOGIN_FAILURE_INTEGRTING	Tento úèet se momentálnì spojuje. Prosíme, zkus to znovu pozdìji.
LOGIN_FAILURE_IOVATION_ERR	Bohuel se stala chyba. Prosíme, kontaktuj Podporu.
LOGIN_FAILURE_NOBILL	Tento úèet nemá ádnı hrací èas.
LOGIN_FAILURE_NOT_EXIST_ID	Konto neexistuje nebo je chybné heslo.
LOGIN_FAILURE_NOT_MAIL_CONFIRM	Musíš ovìøit svùj úèet pomocí e-mailu.
LOGIN_FAILURE_REPAIR_ID	Pro tento úèet byly pøedmìty obnoveny.
LOGIN_FAILURE_SAMELOGIN	Nìkdo se pøipojil na tvùj úèet.
LOGIN_FAILURE_SHUTDOWN	Server zatím není pøístupnı.
LOGIN_FAILURE_STEAM_SESSION	Tvoje sezení vypršelo. Prosíme, spus znovu klienta.
LOGIN_FAILURE_TNT_SESSION	Nelze otevøít klienta. Prosíme, spus znovu hru a pøihlas se.
LOGIN_FAILURE_TOO_MANY_USER	Nemohl jsi navázat spojení, protoe právì hraje pøíliš mnoho hráèù.
LOGIN_FAILURE_UNKNOWN	Z neznámıch dùvodù jsi se nemohl pøihlásit.
LOGIN_FAILURE_WEB_BLOCK	Byl jsi na webové stránce zablokován. Prosím zkontroluj si e-maily.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Zadal jsi špatné èíslo.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	Zadal jsi tøikrát špatné èíslo. Tvoje pøipojení bude pøerušeno.
LOGIN_FAILURE_WRONG_PASSWORD	Chybné jméno nebo heslo.
LOGIN_INPUT_ID	Zadej ID.
LOGIN_INPUT_PASSWORD	Zadej heslo.
LOGIN_PROCESSING	Pøihlášení probíhá...
LUCKY_BOX_DIALOG_RECV_TEXT	Chceš pøijmout pøedmìt?
LUCKY_BOX_DIALOG_RETRY_TEXT	Chceš zkusit štìstí znovu?
MAILBOX_FAIL_USE_TIME_LIMIT	Aktualizuji poštovní schránku. Prosíme, zkus to znovu pozdìji.
MAILBOX_POST_ALL_DELETE_FAIL_EMPTY	ádné zprávy
MAILBOX_POST_ALL_DELETE_QUESTION1	Smazat všechny zprávy?
MAILBOX_POST_ALL_DELETE_QUESTION2	Zprávy s pøílohami nebudou smazány.
MAILBOX_POST_ALL_GET_ITEMS_FAIL_EMPTY	Ve schránce nemáš ádné zprávy s pøílohami.
MAILBOX_POST_ALL_GET_ITEMS_QUESTION	Pøijmout pøílohu? (-5 % danì z Yangù)
MAILBOX_POST_DELETE_FAIL_EXIST_ITEMS	Zprávu nebylo moné smazat. Nejprve musíš pøijmout pøílohu.
MAILBOX_POST_DELETE_QUESTION	Opravdu chceš smazat tuto zprávu?
MAILBOX_POST_GET_ITEMS_NOT_ENOUGHT_INVENTORY	Pøedmìty nebylo moné pøijmout. V inventáøi u není místo.
MAILBOX_POST_GET_ITEMS_QUESTION	Pøijmout pøílohu? (-5 % danì z Yangù)
MAILBOX_POST_GET_ITEMS_WON_OVERFLOW	Nemùeš pøijmout další Wony.
MAILBOX_POST_GET_ITEMS_YANG_OVERFLOW	Nemùeš pøijmout další Yangy.
MAILBOX_POST_GM_ARRIVE	Zpráva GM
MAILBOX_POST_NOT_CONFIRM_INFO_1	Nepøeètené zprávy: %d
MAILBOX_POST_NOT_CONFIRM_INFO_2	Bez pøíloh: %d / s pøílohami: %d
MAILBOX_POST_READ_BLOCK	Opravdu si pøeješ zablokovat %s?
MAILBOX_POST_WRITE_ALREADY_ITEM	Se zprávou mùeš poslat pouze jeden pøedmìt.
MAILBOX_POST_WRITE_CAN_NOT_SPLIT_ITEM	Nejprve si v inventáøi pøedmìty rozdìl, ne jeden z nich pøiloíš ke zprávì.
MAILBOX_POST_WRITE_CONFIRM_FAIL	Neznámı pøíjemce Zprávu nebylo moné odeslat.
MAILBOX_POST_WRITE_CONFIRM_FULL_MAILBOX	Schránka pøíjemce je plná. Zprávu nebylo moné odeslat.
MAILBOX_POST_WRITE_LEVEL_LIMIT	Zprávy mùeš zasílat od úrovnì 20.
MAILBOX_POST_WRITE_MONEY_NOT_ENOUGHT	Na poslání této zprávy nemáš dostatek Yangù.
MAILBOX_POST_WRITE_NAME_CHECK	Potvrï pøíjemce klepnutím na Zkontrolovat pøíjemce.
MAILBOX_POST_WRITE_NAME_EMPTY	Zadej pøíjemce.
MAILBOX_POST_WRITE_QUESTION1	Chceš nyní odeslat zprávu hráèi %s?
MAILBOX_POST_WRITE_QUESTION2	Poplatek za doruèení: %d Yangù
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_NAME	Zadej pøíjemce.
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_TITLE	Zadej pøedmìt.
MAILBOX_POST_WRITE_SEND_MONEY_TITLE	Peníze
MAILBOX_POST_WRITE_WRONG_ITEM	Nemùeš poslat pøedmìt s duševním poutem.
MAILBOX_POST_WRITE_WRONG_MESSAGE	Zpráva obsahuje nepovolená slova.
MAILBOX_POST_WRITE_WRONG_TITLE	Pøedmìt obsahuje nepovolená slova.
MALL_CANNOT_INSERT	Tento pøedmìt nemùeš umístit.
MALL_PASSWORD_TITLE	Heslo
MAP_A1	Oblast Yongan
MAP_A2	Údolí Seungryong
MAP_A2_1	
MAP_A3	Oblast Yayang
MAP_AG	Jungrang
MAP_B1	Oblast Joan
MAP_B2	Údolí Imjù
MAP_B3	Oblast Bokjung
MAP_BATTLE_FIELD	Bitevní zóna
MAP_BAY	Nefritovı záliv
MAP_BAYBLACKSAND	Nefritovı záliv
MAP_BG	Waryong
MAP_BOSS_AWAKEN_DAWNMIST	BO: Zakletı les
MAP_BOSS_AWAKEN_FLAME	BO: Pevnost Èerveného draka
MAP_BOSS_AWAKEN_SKIPIA	BO: Jeskynì vyhnanství
MAP_BOSS_AWAKEN_SNOW	BO: Nemerova strání vì
MAP_BOSS_CRACK_DAWNMIST	ÈT: Zakletı les
MAP_BOSS_CRACK_FLAME	ÈT: Pevnost Èerveného draka
MAP_BOSS_CRACK_SKIPIA	ÈT: Jeskynì vyhnanství
MAP_BOSS_CRACK_SNOW	ÈT: Nemerova strání vì
MAP_BOSS_LABYRINTH	Náhorní plošina iluzí
MAP_C1	Oblast Pyungmoo
MAP_C2	Údolí Bangsanù
MAP_C3	Oblast Bakra
MAP_CAPE	Záliv draèího ohnì
MAP_CAPEDRAGONHEAD	Záliv draèího ohnì
MAP_CG	Imha
MAP_CZ_DUNGEON	Chrám Zvìrokruhu
MAP_DAWN	Útes Gautama
MAP_DAWNMISTWOOD	Útes Gautama
MAP_DAWNMIST_DUNGEON_01	Zakletı les
MAP_DEFENSE_WAVE	Obrana lodi
MAP_DEFENSE_WAVE_PORT	Pøístav
MAP_DESERT	Pouš Yongbi
MAP_DEVILCATACOMB	Ïáblova katakomba
MAP_DEVILTOWER1	Vì démonù
MAP_DUEL	Oblast tréninkovıch bojù
MAP_E	Kolonie
MAP_EMPIREWAR01	Bitva na hradì
MAP_EMPIREWAR02	Bitva na hradì
MAP_EMPIREWAR03	Bitva na hradì
MAP_FLAME	Doyyumhwan
MAP_GUILD_01	Jungrang
MAP_GUILD_02	Waryong
MAP_GUILD_03	Imha
MAP_GUILD_PVE	Palác Draèího krále
MAP_HOLYPLACE_DESERT	Bitva království - Pouštní zemì
MAP_HOLYPLACE_FLAME	Bitva království - Ohnivá zemì
MAP_HOLYPLACE_ICE	Bitva království - Ledová zemì
MAP_MILGYO	Chrám Hwang
MAP_MILGYO_A	
MAP_MINIBOSS_01	Modré bludištì - lvl 40-80
MAP_MINIBOSS_02	Èervené bludištì - lvl 81+
MAP_MISTS_OF_ISLAND	Mlnı ostrov
MAP_MONKEY_DUNGEON	Hasun Dong
MAP_MONKEY_DUNGEON2	Jungsun Dong
MAP_MONKEY_DUNGEON3	Sangsun Dong
MAP_MONKEY_DUNGEON_11	Hasun Dong
MAP_MONKEY_DUNGEON_12	Hasun Dong
MAP_MONKEY_DUNGEON_13	Hasun Dong
MAP_MT_THUNDER	Bouøné hory
MAP_MT_TH_DUNGEON_01	Chrám Ochao
MAP_NUSLUCK	Zemì obrù
MAP_NUSLUCK01	Zemì obrù
MAP_N_DESERT_01	Pouš Yongbi
MAP_N_DESERT_02	
MAP_N_FLAME_01	Ohnivá zemì
MAP_N_FLAME_02	
MAP_N_FLAME_DRAGON	Doupì Meley
MAP_N_FLAME_DUNGEON_01	Pevnost Èerveného draka
MAP_N_SNOWM_01	Hora Sohan
MAP_N_SNOWM_02	
MAP_N_SNOW_DUNGEON_01	Nemerova strání vì
MAP_N_THREEWAY	Údolí Seungryong
MAP_OXEVENT	Soute OX
MAP_PATHWAY_DESERT_01	Bitva království - Pouštní zemì
MAP_PATHWAY_DESERT_02	Bitva království - Pouštní zemì
MAP_PATHWAY_DESERT_03	Bitva království - Pouštní zemì
MAP_PATHWAY_FLAME_01	Bitva království - Ohnivá zemì
MAP_PATHWAY_FLAME_02	Bitva království - Ohnivá zemì
MAP_PATHWAY_FLAME_03	Bitva království - Ohnivá zemì
MAP_PATHWAY_ICE_01	Bitva království - Ledová zemì
MAP_PATHWAY_ICE_02	Zemì her
MAP_PATHWAY_ICE_03	Bitva království - Ledová zemì
MAP_SKELTOWER	Vì Gumsan
MAP_SKIPIA_DUNGEON_01	Jeskynì vyhnanství
MAP_SKIPIA_DUNGEON_011	
MAP_SKIPIA_DUNGEON_012	
MAP_SKIPIA_DUNGEON_013	
MAP_SKIPIA_DUNGEON_02	Jeskynì vyhnanství 2
MAP_SKIPIA_DUNGEON_021	
MAP_SKIPIA_DUNGEON_022	
MAP_SKIPIA_DUNGEON_023	
MAP_SKIPIA_DUNGEON_BOSS	Draèí chrám
MAP_SKIPIA_DUNGEON_BOSS_1	Pavouèí bludištì 1
MAP_SKIPIA_DUNGEON_BOSS_2	Pavouèí bludištì 2
MAP_SKIPIA_DUNGEON_BOSS_3	Pavouèí bludištì 3
MAP_SNOW	Hora Sohan
MAP_SPIDER	Kuahlo Dong
MAP_SPIDERDUNGEON	Pavouèí bludištì 1
MAP_SPIDERDUNGEON_02	Pavouèí bludištì 2
MAP_SPIDERDUNGEON_02_1	Pavouèí bludištì 2
MAP_SPIDERDUNGEON_03	Pavouèí bludištì 3
MAP_SUNGZI	Bitva království
MAP_SUNGZI_DESERT_01	Bitva království - Pouštní zemì
MAP_SUNGZI_DESERT_HILL_01	Bitva království - Pouštní zemì
MAP_SUNGZI_DESERT_HILL_02	Bitva království - Pouštní zemì
MAP_SUNGZI_DESERT_HILL_03	Bitva království - Pouštní zemì
MAP_SUNGZI_FLAME_HILL_01	Bitva království - Ohnivá zemì
MAP_SUNGZI_FLAME_HILL_02	Bitva království - Ohnivá zemì
MAP_SUNGZI_FLAME_HILL_03	Bitva království - Ohnivá zemì
MAP_SUNGZI_SNOW	Bitva království - Ledová zemì
MAP_SUNGZI_SNOW_PASS01	Bitva království - Ledová zemì
MAP_SUNGZI_SNOW_PASS02	Bitva království - Ledová zemì
MAP_SUNGZI_SNOW_PASS03	Bitva království - Ledová zemì
MAP_T1	Oblast cechovních válek
MAP_T2	Oblast cechovních válek
MAP_T3	Oblast cechovních válek
MAP_T4	Oblast cechovních válek
MAP_TEMPLE	Chrám Hwang
MAP_THUNDER	Bouøné hory
MAP_TREE	Lungsam
MAP_TRENT	Les duchù
MAP_TRENT02	Èervenı les
MAP_TRENT02_A	Èervenı les
MAP_TRENT_A	
MAP_WEDDING_01	Svatební oblast
MAP_WL	Hadí pole
MAP_WL_01	Hadí pole
MC_ACCUMULATION_COUNT	Nasbírané karty pøíšer: %d
MC_ALTER_TEXT	Úroveò mise: %d
MC_CARD_FALL_SHORT	Nedostatek registrovanıch karet.
MC_CARD_SHUFFLE	Pøeješ si zamíchat karty?
MC_INIT_ITEM_FALL_SHORT	Potøebuješ %d Nulovacích lístkù
MC_MISSION_FAIL_MSG	Není pøekroèen ádnı limit ani není aktivní mise.
MC_MISSION_INIT	Chceš zresetovat úroveò mise na 1?
MC_MISSION_NO_CLEAR	Nejprve musíš misi dokonèit.
MC_MOTION_BUTTON_OVER_MSG	Tato monost je dostupná pouze pøi dvou hvìzdách.
MC_POLY_BUTTON_OVER_MSG	Tato monost je dostupná pouze pøi tøech hvìzdách.
