114	140.00	100.00
115	140.00	100.00
143	140.00	100.00
144	140.00	100.00
155	140.00	100.00
184	140.00	100.00
185	140.00	100.00
194	140.00	100.00
706	250.00	100.00
707	250.00	100.00
736	250.00	100.00
737	250.00	100.00
756	250.00	100.00
757	250.00	100.00
776	250.00	100.00
777	250.00	100.00
907	220.00	100.00
937	220.00	100.00
1004	250.00	100.00
1034	250.00	100.00
1035	250.00	100.00
1036	270.00	100.00
1041	300.00	100.00
1064	250.00	100.00
1065	250.00	100.00
1066	270.00	100.00
1071	300.00	100.00
1093	290.00	100.00
1095	290.00	100.00
1101	234.00	100.00
1131	234.00	100.00
1151	234.00	100.00
1171	234.00	100.00
2005	230.00	100.00
2035	230.00	100.00
2036	230.00	100.00
2055	230.00	100.00
2065	230.00	100.00
2075	230.00	100.00
2076	230.00	100.00
2091	210.00	100.00
2092	400.00	100.00
2093	210.00	100.00
2094	210.00	100.00
2102	250.00	100.00
2103	150.00	100.00
2104	250.00	100.00
2105	250.00	100.00
2131	250.00	100.00
2132	250.00	100.00
2152	250.00	100.00
2153	150.00	100.00
2154	250.00	100.00
2155	250.00	100.00
2191	300.00	100.00
2192	300.00	100.00
2202	200.00	100.00
2232	200.00	100.00
2291	750.00	100.00
2301	330.00	100.00
2303	240.00	100.00
2306	530.00	100.00
2307	570.00	100.00
2311	250.00	100.00
2313	240.00	100.00
2493	390.00	100.00
2501	160.00	100.00
2502	100.00	100.00
2511	230.00	100.00
2544	230.00	100.00
2597	350.00	100.00
3290	290.00	100.00
3390	310.00	100.00
3391	310.00	100.00
3404	240.00	100.00
3891	340.00	100.00
3911	510.00	100.00
3912	510.00	100.00
3913	510.00	100.00
3996	550.00	100.00
3997	550.00	100.00
3998	550.00	100.00
4011	550.00	100.00
4012	550.00	100.00
4013	550.00	100.00
6001	190.00	100.00
6009	390.00	100.00
6051	390.00	100.00
6091	510.00	100.00
6101	200.00	100.00
6109	390.00	100.00
6114	200.00	100.00
6115	300.00	100.00
6151	390.00	100.00
6191	510.00	100.00
6192	800.00	100.00
6390	310.00	100.00
6391	310.00	100.00
6394	340.00	100.00
6418	800.00	100.00
20101	210.00	80.00
20102	210.00	80.00
20103	210.00	80.00
20104	210.00	80.00
20105	210.00	80.00
20106	210.00	80.00
20107	210.00	80.00
20108	210.00	80.00
20109	210.00	80.00
20110	80.00	50.00
20111	150.00	30.00
20112	80.00	50.00
20113	180.00	45.00
20114	180.00	40.00
20115	180.00	35.00
20116	180.00	50.00
20117	180.00	50.00
20118	180.00	50.00
20119	210.00	80.00
20120	180.00	50.00
20121	180.00	50.00
20122	180.00	50.00
20123	180.00	50.00
20124	180.00	50.00
20125	180.00	50.00
20201	180.00	50.00
20202	180.00	50.00
20203	180.00	50.00
20204	180.00	50.00
20205	180.00	50.00
20206	180.00	50.00
20207	180.00	50.00
20208	180.00	50.00
20209	180.00	50.00
20210	180.00	50.00
20211	210.00	45.00
20213	180.00	50.00
20212	180.00	50.00
20213	210.00	80.00
20214	210.00	75.00
20215	210.00	60.00
20216	210.00	80.00
20217	210.00	80.00
20218	210.00	80.00
20219	210.00	80.00
20220	80.00	50.00
20221	80.00	50.00
20222	180.00	50.00
20223	190.00	56.00
20224	190.00	56.00
20225	190.00	56.00
20226	210.00	80.00
20227	210.00	80.00
20228	190.00	56.00
20229	190.00	56.00
20230	190.00	56.00
20231	190.00	50.00
20232	190.00	50.00
20233	80.00	50.00
20234	80.00	50.00
20235	80.00	50.00
20236	80.00	50.00
20237	80.00	50.00
20238	80.00	50.00
20239	80.00	50.00
20240	80.00	50.00
20252	280.00	125.00
20251	280.00	125.00
20261	220.00	80.00
60005	310.00	160.00
60006	310.00	160.00
60007	310.00	160.00
60008	310.00	160.00
3960	200.00	100.00
3961	200.00	100.00
3962	200.00	100.00
3963	200.00	100.00
3964	200.00	100.00
