m	652	367	50	50	0	0	10s	100	2	8006
m	179	190	50	50	0	0	10s	100	2	8006
m	820	805	50	50	0	0	10s	100	2	8007
m	264	846	50	50	0	0	10s	100	2	8007
m	169	435	50	50	0	0	10s	100	2	8006
m	498	848	50	50	0	0	10s	100	2	8007
m	584	694	50	50	0	0	10s	100	2	8007
m	652	367	50	50	0	0	10s	100	2	8006
m	179	190	50	50	0	0	10s	100	2	8006
m	820	805	50	50	0	0	10s	100	2	8007
m	264	846	50	50	0	0	10s	100	2	8007
m	169	435	50	50	0	0	10s	100	2	8006
m	498	848	50	50	0	0	10s	100	2	8007
m	584	694	50	50	0	0	10s	100	2	8007
m	652	367	50	50	0	0	10s	100	2	8006
m	179	190	50	50	0	0	10s	100	2	8006
m	820	805	50	50	0	0	10s	100	2	8007
m	264	846	50	50	0	0	10s	100	2	8007
m	169	435	50	50	0	0	10s	100	2	8006
m	498	848	50	50	0	0	10s	100	2	8007
m	584	694	50	50	0	0	10s	100	2	8007
m	652	367	50	50	0	0	10s	100	2	8006
m	179	190	50	50	0	0	10s	100	2	8006
m	820	805	50	50	0	0	10s	100	2	8007
m	264	846	50	50	0	0	10s	100	2	8007
m	169	435	50	50	0	0	10s	100	2	8006
m	498	848	50	50	0	0	10s	100	2	8007
m	584	694	50	50	0	0	10s	100	2	8007
m	652	367	50	50	0	0	10s	100	2	8006
m	179	190	50	50	0	0	10s	100	2	8006
m	820	805	50	50	0	0	10s	100	2	8007
m	264	846	50	50	0	0	10s	100	2	8007
m	169	435	50	50	0	0	10s	100	2	8006
m	498	848	50	50	0	0	10s	100	2	8007
m	584	694	50	50	0	0	10s	100	2	8007
m	652	367	50	50	0	0	10s	100	2	8006
m	179	190	50	50	0	0	10s	100	2	8006
m	820	805	50	50	0	0	10s	100	2	8007
m	264	846	50	50	0	0	10s	100	2	8007
m	169	435	50	50	0	0	10s	100	2	8006
m	498	848	50	50	0	0	10s	100	2	8007
m	584	694	50	50	0	0	10s	100	2	8007
m	652	367	50	50	0	0	10s	100	2	8006
m	179	190	50	50	0	0	10s	100	2	8006
m	820	805	50	50	0	0	10s	100	2	8007
m	264	846	50	50	0	0	10s	100	2	8007
m	169	435	50	50	0	0	10s	100	2	8006
m	498	848	50	50	0	0	10s	100	2	8007
m	584	694	50	50	0	0	10s	100	2	8007
m	652	367	50	50	0	0	10s	100	2	8006
m	179	190	50	50	0	0	10s	100	2	8006
m	820	805	50	50	0	0	10s	100	2	8007
m	264	846	50	50	0	0	10s	100	2	8007
m	169	435	50	50	0	0	10s	100	2	8006
m	498	848	50	50	0	0	10s	100	2	8007
m	584	694	50	50	0	0	10s	100	2	8007
m	652	367	50	50	0	0	10s	100	2	8006
m	179	190	50	50	0	0	10s	100	2	8006
m	820	805	50	50	0	0	10s	100	2	8007
m	264	846	50	50	0	0	10s	100	2	8007
m	169	435	50	50	0	0	10s	100	2	8006
m	498	848	50	50	0	0	10s	100	2	8007
m	584	694	50	50	0	0	10s	100	2	8007
m	652	367	50	50	0	0	10s	100	2	8006
m	179	190	50	50	0	0	10s	100	2	8006
m	820	805	50	50	0	0	10s	100	2	8007
m	820	805	50	50	0	0	10s	100	2	8005
m	280	582	50	50	0	0	10s	100	2	8005
m	324	606	50	50	0	0	10s	100	2	8005
m	441	703	50	50	0	0	10s	100	2	8005
m	495	708	50	50	0	0	10s	100	2	8005
m	575	717	50	50	0	0	10s	100	2	8005
m	594	665	50	50	0	0	10s	100	2	8005
m	663	690	50	50	0	0	10s	100	2	8005
